Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2020,10,1,00:00,UTC,0,-3,0
2020,10,1,01:00,UTC,0,-3.5,0
2020,10,1,02:00,UTC,0,-4.1,0
2020,10,1,03:00,UTC,0,-4,0
2020,10,1,04:00,UTC,0,-3.4,0
2020,10,1,05:00,UTC,14.3,-2.1,0
2020,10,1,06:00,UTC,57.6,2.4,0
2020,10,1,07:00,UTC,114.7,9.1,0
2020,10,1,08:00,UTC,145.7,15.7,0
2020,10,1,09:00,UTC,128.5,50.5,60
2020,10,1,10:00,UTC,92.7,62.5,60
2020,10,1,11:00,UTC,114.5,53.7,60
2020,10,1,12:00,UTC,102,39.4,60
2020,10,1,13:00,UTC,145,42.5,60
2020,10,1,14:00,UTC,67.4,12.2,60
2020,10,1,15:00,UTC,49.1,2.3,0
2020,10,1,16:00,UTC,2,-4.5,0
2020,10,1,17:00,UTC,0.1,-4.4,0
2020,10,1,18:00,UTC,0,-4.1,0
2020,10,1,19:00,UTC,0.5,-4,0
2020,10,1,20:00,UTC,0.1,-4,0
2020,10,1,21:00,UTC,0.4,-3.7,0
2020,10,1,22:00,UTC,0,-3.9,0
2020,10,1,23:00,UTC,0.5,-3.8,0
2020,10,2,00:00,UTC,0,-3.8,0
2020,10,2,01:00,UTC,0,-3.6,0
2020,10,2,02:00,UTC,0.2,-3.4,0
2020,10,2,03:00,UTC,0,-3.9,0
2020,10,2,04:00,UTC,0.5,-4.1,0
2020,10,2,05:00,UTC,21.2,-1.9,0
2020,10,2,06:00,UTC,85.7,6,0
2020,10,2,07:00,UTC,111.2,22.7,60
2020,10,2,08:00,UTC,144.6,34.6,60
2020,10,2,09:00,UTC,193.2,40.1,60
2020,10,2,10:00,UTC,162.5,44,60
2020,10,2,11:00,UTC,121.8,51.2,60
2020,10,2,12:00,UTC,116.5,44.6,60
2020,10,2,13:00,UTC,81,31.8,60
2020,10,2,14:00,UTC,59.6,14.9,60
2020,10,2,15:00,UTC,35.2,1.8,5
2020,10,2,16:00,UTC,3.4,-4,0
2020,10,2,17:00,UTC,0.1,-4.6,0
2020,10,2,18:00,UTC,0,-4.5,0
2020,10,2,19:00,UTC,0.1,-4.5,0
2020,10,2,20:00,UTC,0,-3.7,0
2020,10,2,21:00,UTC,0,-3.8,0
2020,10,2,22:00,UTC,0,-3.8,0
2020,10,2,23:00,UTC,0,-4.1,0
2020,10,3,00:00,UTC,0,-3.8,0
2020,10,3,01:00,UTC,0,-3.9,0
2020,10,3,02:00,UTC,0.1,-3.8,0
2020,10,3,03:00,UTC,0,-3.9,0
2020,10,3,04:00,UTC,0.1,-4.3,0
2020,10,3,05:00,UTC,9.5,-3.5,0
2020,10,3,06:00,UTC,22.4,-2.9,0
2020,10,3,07:00,UTC,114.9,7.3,0
2020,10,3,08:00,UTC,119.4,8.2,0
2020,10,3,09:00,UTC,150.8,12.5,0
2020,10,3,10:00,UTC,163.7,14.4,0
2020,10,3,11:00,UTC,156.9,16.2,0
2020,10,3,12:00,UTC,140.1,11.6,0
2020,10,3,13:00,UTC,210.3,42.9,60
2020,10,3,14:00,UTC,74.7,3.2,0
2020,10,3,15:00,UTC,39.1,0.2,0
2020,10,3,16:00,UTC,1,-4.8,0
2020,10,3,17:00,UTC,0,-5.5,0
2020,10,3,18:00,UTC,0,-5.5,0
2020,10,3,19:00,UTC,0,-5.8,0
2020,10,3,20:00,UTC,0.1,-5.8,0
2020,10,3,21:00,UTC,0.1,-5.9,0
2020,10,3,22:00,UTC,0,-5.7,0
2020,10,3,23:00,UTC,0,-5.3,0
2020,10,4,00:00,UTC,0,-5.6,0
2020,10,4,01:00,UTC,0,-6,0
2020,10,4,02:00,UTC,0,-6,0
2020,10,4,03:00,UTC,0,-5.8,0
2020,10,4,04:00,UTC,0,-5.7,0
2020,10,4,05:00,UTC,4.2,-3.5,0
2020,10,4,06:00,UTC,14,-3.3,0
2020,10,4,07:00,UTC,36,-1.8,0
2020,10,4,08:00,UTC,56.3,0,0
2020,10,4,09:00,UTC,58.6,0.1,0
2020,10,4,10:00,UTC,178.3,12.7,0
2020,10,4,11:00,UTC,188.3,17.1,0
2020,10,4,12:00,UTC,72.6,2.5,0
2020,10,4,13:00,UTC,45.6,-0.7,0
2020,10,4,14:00,UTC,11.2,-4.8,0
2020,10,4,15:00,UTC,6.5,-5,0
2020,10,4,16:00,UTC,0,-4.7,0
2020,10,4,17:00,UTC,0,-3.7,0
2020,10,4,18:00,UTC,0,-5.4,0
2020,10,4,19:00,UTC,0,-3.7,0
2020,10,4,20:00,UTC,0,-5.3,0
2020,10,4,21:00,UTC,0,-5.7,0
2020,10,4,22:00,UTC,0,-5.8,0
2020,10,4,23:00,UTC,0,-5.7,0
2020,10,5,00:00,UTC,0,-5.9,0
2020,10,5,01:00,UTC,0,-5.8,0
2020,10,5,02:00,UTC,0.5,-5,0
2020,10,5,03:00,UTC,0,-5.5,0
