Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2020,3,1,00:00,UTC,0,-2.7,0
2020,3,1,01:00,UTC,0.1,-2.9,0
2020,3,1,02:00,UTC,0,-3.5,0
2020,3,1,03:00,UTC,0.2,-4.5,0
2020,3,1,04:00,UTC,0.2,-4.6,0
2020,3,1,05:00,UTC,0,-4.4,0
2020,3,1,06:00,UTC,7.8,-2.6,0
2020,3,1,07:00,UTC,20.4,7.8,0
2020,3,1,08:00,UTC,35.9,15.3,0
2020,3,1,09:00,UTC,58,27.2,0
2020,3,1,10:00,UTC,80,39.4,0
2020,3,1,11:00,UTC,58.2,28.8,0
2020,3,1,12:00,UTC,33.4,20.6,0
2020,3,1,13:00,UTC,67.5,33.4,0
2020,3,1,14:00,UTC,40.5,11.6,0
2020,3,1,15:00,UTC,27.4,4.7,0
2020,3,1,16:00,UTC,1.7,-5,0
2020,3,1,17:00,UTC,0.1,-5.8,0
2020,3,1,18:00,UTC,0.2,-4.1,0
2020,3,1,19:00,UTC,0,-5.3,0
2020,3,1,20:00,UTC,0,-4.9,0
2020,3,1,21:00,UTC,0.1,-5.2,0
2020,3,1,22:00,UTC,0,-5,0
2020,3,1,23:00,UTC,0.1,-5.1,0
2020,3,2,00:00,UTC,0,-5.8,0
2020,3,2,01:00,UTC,0,-5.5,0
2020,3,2,02:00,UTC,0,-4.7,0
2020,3,2,03:00,UTC,0,-4.6,0
2020,3,2,04:00,UTC,0,-4.5,0
2020,3,2,05:00,UTC,0.6,-3.9,0
2020,3,2,06:00,UTC,10.9,-3.2,0
2020,3,2,07:00,UTC,23,-1.9,0
2020,3,2,08:00,UTC,75,2.9,0
2020,3,2,09:00,UTC,136.8,12.1,20
2020,3,2,10:00,UTC,136.3,8.5,0
2020,3,2,11:00,UTC,170.4,11.1,0
2020,3,2,12:00,UTC,195.9,15.3,0
2020,3,2,13:00,UTC,128.2,29,45
2020,3,2,14:00,UTC,71.9,13.3,60
2020,3,2,15:00,UTC,32.4,0.9,0
2020,3,2,16:00,UTC,3.4,-3,0
2020,3,2,17:00,UTC,0,-2.8,0
2020,3,2,18:00,UTC,0.1,-2.7,0
2020,3,2,19:00,UTC,0.2,-2.9,0
2020,3,2,20:00,UTC,0,-2.6,0
2020,3,2,21:00,UTC,0.1,-2.7,0
2020,3,2,22:00,UTC,0.1,-3.3,0
2020,3,2,23:00,UTC,0,-2.9,0
2020,3,3,00:00,UTC,0.2,-2.8,0
2020,3,3,01:00,UTC,0,-3.1,0
2020,3,3,02:00,UTC,0,-3.3,0
2020,3,3,03:00,UTC,0.4,-2.8,0
2020,3,3,04:00,UTC,0,-2.9,0
2020,3,3,05:00,UTC,0.2,-2.6,0
2020,3,3,06:00,UTC,14.9,-1.7,0
2020,3,3,07:00,UTC,46,0.5,0
2020,3,3,08:00,UTC,62.7,1.7,0
2020,3,3,09:00,UTC,78.3,2.5,0
2020,3,3,10:00,UTC,84.8,3.9,0
2020,3,3,11:00,UTC,95.8,5.1,0
2020,3,3,12:00,UTC,159.2,12.7,0
2020,3,3,13:00,UTC,84.3,4,0
2020,3,3,14:00,UTC,21.3,-1,0
2020,3,3,15:00,UTC,13.4,-2.3,0
2020,3,3,16:00,UTC,0.4,-3.3,0
2020,3,3,17:00,UTC,0,-3.7,0
2020,3,3,18:00,UTC,0.1,-3.9,0
2020,3,3,19:00,UTC,0.1,-4.5,0
2020,3,3,20:00,UTC,0,-4.6,0
2020,3,3,21:00,UTC,0,-4.8,0
2020,3,3,22:00,UTC,0.5,-4.9,0
2020,3,3,23:00,UTC,0.1,-4.5,0
2020,3,4,00:00,UTC,0.2,-5.1,0
2020,3,4,01:00,UTC,0,-5.3,0
2020,3,4,02:00,UTC,0.4,-5.4,0
2020,3,4,03:00,UTC,0.2,-5.8,0
2020,3,4,04:00,UTC,0,-5.9,0
2020,3,4,05:00,UTC,0.4,-5.5,0
2020,3,4,06:00,UTC,2.7,-4.7,0
2020,3,4,07:00,UTC,8.5,-3.8,0
2020,3,4,08:00,UTC,11.4,-4.2,0
2020,3,4,09:00,UTC,16.8,-3.6,0
2020,3,4,10:00,UTC,30.7,-2.3,0
