Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2019,9,1,00:00,UTC,0,-2.9,0
2019,9,1,01:00,UTC,0.1,-4.2,0
2019,9,1,02:00,UTC,0,-3.6,0
2019,9,1,03:00,UTC,2.7,-3.3,0
2019,9,1,04:00,UTC,29.2,1.8,0
2019,9,1,05:00,UTC,44.8,17.8,60
2019,9,1,06:00,UTC,101,24.9,60
2019,9,1,07:00,UTC,64.4,57.9,60
2019,9,1,08:00,UTC,68.6,69.1,60
2019,9,1,09:00,UTC,73.5,76.8,60
2019,9,1,10:00,UTC,77.7,65.3,60
2019,9,1,11:00,UTC,84.2,80.4,60
2019,9,1,12:00,UTC,82.8,73.7,60
2019,9,1,13:00,UTC,73.7,65.9,60
2019,9,1,14:00,UTC,53.6,50.3,60
2019,9,1,15:00,UTC,46.2,33.2,60
2019,9,1,16:00,UTC,34.8,11.5,60
2019,9,1,17:00,UTC,16.6,-2.6,0
2019,9,1,18:00,UTC,0.6,-5.7,0
2019,9,1,19:00,UTC,0.5,-5.6,0
2019,9,1,20:00,UTC,0,-3.4,0
2019,9,1,21:00,UTC,0.2,-3.8,0
2019,9,1,22:00,UTC,0.5,-3.6,0
2019,9,1,23:00,UTC,0.1,-3.6,0
2019,9,2,00:00,UTC,0,-5.6,0
2019,9,2,01:00,UTC,0,-4.7,0
2019,9,2,02:00,UTC,0.5,-4,0
2019,9,2,03:00,UTC,1.9,-5.4,0
2019,9,2,04:00,UTC,23,0.7,60
2019,9,2,05:00,UTC,93.2,6.1,0
2019,9,2,06:00,UTC,64.1,32.5,60
2019,9,2,07:00,UTC,80.6,53,60
2019,9,2,08:00,UTC,80.2,65.6,60
2019,9,2,09:00,UTC,69.8,76.7,60
2019,9,2,10:00,UTC,78.1,78.1,60
2019,9,2,11:00,UTC,90.2,76.9,60
2019,9,2,12:00,UTC,151.6,66.2,60
2019,9,2,13:00,UTC,120.1,7.9,0
2019,9,2,14:00,UTC,108.9,6.6,0
2019,9,2,15:00,UTC,2.9,-5.4,0
2019,9,2,16:00,UTC,11.8,-0.3,0
2019,9,2,17:00,UTC,4.2,-2.8,0
2019,9,2,18:00,UTC,2.8,0,0
2019,9,2,19:00,UTC,0.4,-1.6,0
2019,9,2,20:00,UTC,0.3,-2,0
2019,9,2,21:00,UTC,0.5,-2.3,0
2019,9,2,22:00,UTC,0.3,-2.6,0
2019,9,2,23:00,UTC,0.2,-2.6,0
2019,9,3,00:00,UTC,0.1,-2.3,0
2019,9,3,01:00,UTC,1,-2.7,0
2019,9,3,02:00,UTC,0.1,-2.2,0
2019,9,3,03:00,UTC,0.1,-3.4,0
2019,9,3,04:00,UTC,31.1,0,0
2019,9,3,05:00,UTC,109.6,17.8,60
2019,9,3,06:00,UTC,160,22.6,20
2019,9,3,07:00,UTC,233.8,50.7,60
2019,9,3,08:00,UTC,191.4,21.1,0
2019,9,3,09:00,UTC,282.7,48.9,55
2019,9,3,10:00,UTC,214.1,39.5,20
2019,9,3,11:00,UTC,273.9,54.6,60
2019,9,3,12:00,UTC,137.7,12.8,0
2019,9,3,13:00,UTC,143.6,17.5,0
2019,9,3,14:00,UTC,204.4,26.7,10
2019,9,3,15:00,UTC,149.2,36.6,60
2019,9,3,16:00,UTC,88,16.3,60
2019,9,3,17:00,UTC,28.7,-1.1,0
2019,9,3,18:00,UTC,0.6,-5.1,0
2019,9,3,19:00,UTC,0.6,-4,0
2019,9,3,20:00,UTC,0.3,-4.2,0
2019,9,3,21:00,UTC,0,-4.1,0
2019,9,3,22:00,UTC,2.4,-3.5,0
2019,9,3,23:00,UTC,0.8,-3.5,0
2019,9,4,00:00,UTC,0.2,-3.7,0
2019,9,4,01:00,UTC,0,-4,0
2019,9,4,02:00,UTC,0,-5,0
2019,9,4,03:00,UTC,0,-6.5,0
2019,9,4,04:00,UTC,15.5,-4.5,0
2019,9,4,05:00,UTC,54.6,0.4,0
2019,9,4,06:00,UTC,146.3,14.8,0
2019,9,4,07:00,UTC,186.8,17.3,0
2019,9,4,08:00,UTC,176.6,15.8,0
2019,9,4,09:00,UTC,148.3,9.7,0
2019,9,4,10:00,UTC,156.7,92.4,60
2019,9,4,11:00,UTC,170.3,33.2,25
2019,9,4,12:00,UTC,282,52.7,35
2019,9,4,13:00,UTC,151.1,68.1,60
2019,9,4,14:00,UTC,137.1,15.7,0
2019,9,4,15:00,UTC,63.2,28.5,60
