Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2018,5,1,00:00,UTC,0,-4.4,0
2018,5,1,01:00,UTC,0.3,-4.3,0
2018,5,1,02:00,UTC,0.5,-4.5,0
2018,5,1,03:00,UTC,4.6,-3.7,0
2018,5,1,04:00,UTC,16.1,-2.8,0
2018,5,1,05:00,UTC,35.7,-0.1,0
2018,5,1,06:00,UTC,33,0.9,0
2018,5,1,07:00,UTC,45.9,-0.2,0
2018,5,1,08:00,UTC,92.9,4.8,0
2018,5,1,09:00,UTC,100.4,5.7,0
2018,5,1,10:00,UTC,38.9,-1.4,0
2018,5,1,11:00,UTC,48,-0.2,0
2018,5,1,12:00,UTC,48.4,-2.4,0
2018,5,1,13:00,UTC,58,-1.1,0
2018,5,1,14:00,UTC,35,-3.1,0
2018,5,1,15:00,UTC,68.2,-0.3,0
2018,5,1,16:00,UTC,22.9,-3.6,0
2018,5,1,17:00,UTC,15.3,-3.2,0
2018,5,1,18:00,UTC,4.2,-3,0
2018,5,1,19:00,UTC,0.3,-4.5,0
2018,5,1,20:00,UTC,0.1,-3.2,0
2018,5,1,21:00,UTC,0.2,-3.5,0
2018,5,1,22:00,UTC,0.3,-3,0
2018,5,1,23:00,UTC,0,-3.3,0
2018,5,2,00:00,UTC,0.2,-3.8,0
2018,5,2,01:00,UTC,0,-3.9,0
2018,5,2,02:00,UTC,0.3,-3.1,0
2018,5,2,03:00,UTC,5,-3.4,0
2018,5,2,04:00,UTC,13.1,-2.4,0
2018,5,2,05:00,UTC,6.5,-2.7,0
2018,5,2,06:00,UTC,26.8,1.1,0
2018,5,2,07:00,UTC,123.2,8.2,0
2018,5,2,08:00,UTC,68.1,3.1,0
2018,5,2,09:00,UTC,252.5,25.4,0
2018,5,2,10:00,UTC,392.4,45,0
2018,5,2,11:00,UTC,261.3,26.6,0
2018,5,2,12:00,UTC,183.4,95.6,60
2018,5,2,13:00,UTC,219.3,22.4,0
2018,5,2,14:00,UTC,82.9,5.5,0
2018,5,2,15:00,UTC,59.1,2.1,0
2018,5,2,16:00,UTC,79.5,3.8,0
2018,5,2,17:00,UTC,38.2,-0.8,0
2018,5,2,18:00,UTC,5.2,-4.9,0
2018,5,2,19:00,UTC,0.2,-4.8,0
2018,5,2,20:00,UTC,0.4,-4.4,0
2018,5,2,21:00,UTC,0.6,-4.7,0
2018,5,2,22:00,UTC,0.3,-5,0
2018,5,2,23:00,UTC,0.1,-4.5,0
2018,5,3,00:00,UTC,0.7,-4.2,0
2018,5,3,01:00,UTC,0,-4.8,0
2018,5,3,02:00,UTC,1.4,-4.7,0
2018,5,3,03:00,UTC,14.2,-2.7,0
2018,5,3,04:00,UTC,67.4,4.7,0
2018,5,3,05:00,UTC,122.5,10.8,0
2018,5,3,06:00,UTC,172.4,18.3,0
2018,5,3,07:00,UTC,132.5,80.6,60
2018,5,3,08:00,UTC,219.1,97.9,60
2018,5,3,09:00,UTC,291.6,110.6,60
2018,5,3,10:00,UTC,300.9,65.5,60
2018,5,3,11:00,UTC,126.1,93.5,60
2018,5,3,12:00,UTC,329.7,60.9,60
2018,5,3,13:00,UTC,245.2,25.7,0
2018,5,3,14:00,UTC,183.3,16.6,0
2018,5,3,15:00,UTC,83.6,5,0
2018,5,3,16:00,UTC,50.8,0.9,0
2018,5,3,17:00,UTC,9.3,-3.6,0
2018,5,3,18:00,UTC,6.4,-5,0
2018,5,3,19:00,UTC,1.3,-3.4,0
2018,5,3,20:00,UTC,0,-2.6,0
2018,5,3,21:00,UTC,0,-4.2,0
2018,5,3,22:00,UTC,0,-5.5,0
2018,5,3,23:00,UTC,0.2,-6,0
2018,5,4,00:00,UTC,0.5,-6.2,0
2018,5,4,01:00,UTC,0.1,-4.6,0
2018,5,4,02:00,UTC,0.2,-3,0
2018,5,4,03:00,UTC,12,-4.5,0
