Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2018,10,1,00:00,UTC,0.1,-3.3,0
2018,10,1,01:00,UTC,0.4,-4.4,0
2018,10,1,02:00,UTC,0.3,-4,0
2018,10,1,03:00,UTC,0.7,-3.3,0
2018,10,1,04:00,UTC,0.5,-3.1,0
2018,10,1,05:00,UTC,22,-0.2,10
2018,10,1,06:00,UTC,64.1,11.2,60
2018,10,1,07:00,UTC,53.9,36,60
2018,10,1,08:00,UTC,90.6,45.9,60
2018,10,1,09:00,UTC,123.4,56,60
2018,10,1,10:00,UTC,180.1,33.8,40
2018,10,1,11:00,UTC,259.4,63.1,60
2018,10,1,12:00,UTC,192.9,33.5,60
2018,10,1,13:00,UTC,120.2,52.4,60
2018,10,1,14:00,UTC,55.5,25.1,60
2018,10,1,15:00,UTC,45.1,1.1,0
2018,10,1,16:00,UTC,3.4,-3.8,0
2018,10,1,17:00,UTC,0.8,-3.7,0
2018,10,1,18:00,UTC,0.1,-3.6,0
2018,10,1,19:00,UTC,0.1,-2.9,0
2018,10,1,20:00,UTC,0.5,-3.5,0
2018,10,1,21:00,UTC,0.2,-3.1,0
2018,10,1,22:00,UTC,0.4,-2.7,0
2018,10,1,23:00,UTC,0.5,-2.9,0
2018,10,2,00:00,UTC,0.3,-3.6,0
2018,10,2,01:00,UTC,0.3,-2.8,0
2018,10,2,02:00,UTC,0.5,-2.7,0
2018,10,2,03:00,UTC,1.1,-3.6,0
2018,10,2,04:00,UTC,0.7,-3.3,0
2018,10,2,05:00,UTC,22.6,-0.5,0
2018,10,2,06:00,UTC,27.2,-0.9,0
2018,10,2,07:00,UTC,119.7,10.1,0
2018,10,2,08:00,UTC,208.8,29,0
2018,10,2,09:00,UTC,61.7,63.2,60
2018,10,2,10:00,UTC,240.9,100.7,60
2018,10,2,11:00,UTC,123.4,15.3,0
2018,10,2,12:00,UTC,70.3,8,0
2018,10,2,13:00,UTC,40.8,2.9,0
2018,10,2,14:00,UTC,28.3,1.9,0
2018,10,2,15:00,UTC,9.4,-1.6,0
2018,10,2,16:00,UTC,0.7,-3,0
2018,10,2,17:00,UTC,0.2,-3.4,0
2018,10,2,18:00,UTC,0,-1.6,0
2018,10,2,19:00,UTC,0.1,-0.8,0
2018,10,2,20:00,UTC,0.1,-1,0
2018,10,2,21:00,UTC,0.2,-3,0
2018,10,2,22:00,UTC,0.3,-2.6,0
2018,10,2,23:00,UTC,0.1,-2.6,0
2018,10,3,00:00,UTC,0,-3.1,0
2018,10,3,01:00,UTC,0,-2.4,0
2018,10,3,02:00,UTC,0,-2.5,0
2018,10,3,03:00,UTC,0.1,-2.6,0
2018,10,3,04:00,UTC,0.3,-2.5,0
2018,10,3,05:00,UTC,11.1,-1.5,0
2018,10,3,06:00,UTC,30.5,0.5,0
2018,10,3,07:00,UTC,56.5,3.6,0
2018,10,3,08:00,UTC,73.4,5.4,0
2018,10,3,09:00,UTC,82.6,6.4,0
2018,10,3,10:00,UTC,61.8,4.4,0
2018,10,3,11:00,UTC,82.2,6.7,0
2018,10,3,12:00,UTC,83.4,6.5,0
2018,10,3,13:00,UTC,53.4,3.5,0
2018,10,3,14:00,UTC,16.5,0.7,0
2018,10,3,15:00,UTC,6.8,-0.4,0
2018,10,3,16:00,UTC,0.7,-1.6,0
2018,10,3,17:00,UTC,0.6,-1.5,0
2018,10,3,18:00,UTC,0,-1.6,0
2018,10,3,19:00,UTC,0.5,-2.2,0
2018,10,3,20:00,UTC,0.2,-2.9,0
2018,10,3,21:00,UTC,0.4,-3,0
2018,10,3,22:00,UTC,0.1,-3.4,0
2018,10,3,23:00,UTC,0.2,-4.1,0
2018,10,4,00:00,UTC,0.1,-4,0
2018,10,4,01:00,UTC,0.3,-3.6,0
2018,10,4,02:00,UTC,0,-3.6,0
2018,10,4,03:00,UTC,0,-3.3,0
2018,10,4,04:00,UTC,0,-3.2,0
2018,10,4,05:00,UTC,10.3,-1.6,0
2018,10,4,06:00,UTC,25.2,18.6,60
2018,10,4,07:00,UTC,32.3,36.4,60
2018,10,4,08:00,UTC,43.2,53.5,60
2018,10,4,09:00,UTC,48.4,65.3,60
2018,10,4,10:00,UTC,159.1,87.5,60
2018,10,4,11:00,UTC,193.8,20.8,0
2018,10,4,12:00,UTC,67.5,33,60
2018,10,4,13:00,UTC,88.5,41.7,60
2018,10,4,14:00,UTC,47.1,24.9,60
2018,10,4,15:00,UTC,20.6,1.5,60
2018,10,4,16:00,UTC,2.4,-2.8,0
2018,10,4,17:00,UTC,0.1,-3,0
2018,10,4,18:00,UTC,0,-2.7,0
2018,10,4,19:00,UTC,0.1,-3,0
2018,10,4,20:00,UTC,0.1,-2.8,0
2018,10,4,21:00,UTC,0.1,-2.7,0
2018,10,4,22:00,UTC,0,-2.6,0
2018,10,4,23:00,UTC,0,-2.4,0
2018,10,5,00:00,UTC,0,-2.5,0
2018,10,5,01:00,UTC,0.1,-2.8,0
2018,10,5,02:00,UTC,0.2,-4.4,0
2018,10,5,03:00,UTC,0,-4.4,0
2018,10,5,04:00,UTC,0.2,-5.8,0
2018,10,5,05:00,UTC,2.3,-4.3,0
2018,10,5,06:00,UTC,6,-5.1,0
2018,10,5,07:00,UTC,30.3,-2.7,0
2018,10,5,08:00,UTC,41.8,-1.4,0
2018,10,5,09:00,UTC,33.9,-1.4,0
2018,10,5,10:00,UTC,80.6,2.7,0
2018,10,5,11:00,UTC,74.7,2,0
2018,10,5,12:00,UTC,114.6,6.1,0
2018,10,5,13:00,UTC,127.2,19.8,25
2018,10,5,14:00,UTC,34.6,15.6,60
2018,10,5,15:00,UTC,39.8,2.7,10
2018,10,5,16:00,UTC,1.8,-4.8,0
2018,10,5,17:00,UTC,0.6,-4.5,0
2018,10,5,18:00,UTC,1.7,-4.3,0
2018,10,5,19:00,UTC,0.2,-3.2,0
2018,10,5,20:00,UTC,0.6,-3.5,0
2018,10,5,21:00,UTC,0.1,-3.2,0
2018,10,5,22:00,UTC,0,-3.3,0
2018,10,5,23:00,UTC,0.1,-4.3,0
2018,10,6,00:00,UTC,0,-4.2,0
2018,10,6,01:00,UTC,0.8,-4.4,0
2018,10,6,02:00,UTC,0,-4.4,0
2018,10,6,03:00,UTC,0.9,-4.4,0
2018,10,6,04:00,UTC,0.1,-4.1,0
2018,10,6,05:00,UTC,14.2,-2.4,0
2018,10,6,06:00,UTC,53.9,4.3,20
2018,10,6,07:00,UTC,129,27.2,60
2018,10,6,08:00,UTC,197.5,36.5,60
2018,10,6,09:00,UTC,231.7,28.6,0
2018,10,6,10:00,UTC,113,14.6,0
2018,10,6,11:00,UTC,141.8,28.6,60
2018,10,6,12:00,UTC,177.6,19,0
2018,10,6,13:00,UTC,120.5,10.3,0
2018,10,6,14:00,UTC,77.7,4.7,0
2018,10,6,15:00,UTC,21.1,-2.7,0
2018,10,6,16:00,UTC,0.2,-4.8,0
2018,10,6,17:00,UTC,0.3,-4.7,0
2018,10,6,18:00,UTC,0.1,-4.9,0
2018,10,6,19:00,UTC,0.4,-4.8,0
2018,10,6,20:00,UTC,0.3,-3.6,0
2018,10,6,21:00,UTC,0.2,-3.7,0
2018,10,6,22:00,UTC,0.8,-3.7,0
2018,10,6,23:00,UTC,0.4,-3.3,0
2018,10,7,00:00,UTC,0.2,-2.9,0
2018,10,7,01:00,UTC,0.1,-3.1,0
2018,10,7,02:00,UTC,0,-3,0
2018,10,7,03:00,UTC,0.8,-2.8,0
2018,10,7,04:00,UTC,0.1,-3,0
2018,10,7,05:00,UTC,3.4,-3.1,0
2018,10,7,06:00,UTC,17.1,-1.2,0
2018,10,7,07:00,UTC,69.3,4.9,0
2018,10,7,08:00,UTC,75.4,6.9,0
2018,10,7,09:00,UTC,185.5,22.5,0
2018,10,7,10:00,UTC,94.1,9.8,0
