Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2019,1,1,00:00,UTC,0,-5.4,0
2019,1,1,01:00,UTC,0.4,-5.1,0
2019,1,1,02:00,UTC,0,-4.7,0
2019,1,1,03:00,UTC,0.3,-5.5,0
2019,1,1,04:00,UTC,0.2,-5.6,0
2019,1,1,05:00,UTC,0,-5.7,0
2019,1,1,06:00,UTC,0.3,-5.6,0
2019,1,1,07:00,UTC,0.8,-5.6,0
2019,1,1,08:00,UTC,5.5,-1.7,0
2019,1,1,09:00,UTC,19.7,7,0
2019,1,1,10:00,UTC,66.3,30.4,0
2019,1,1,11:00,UTC,54.3,25.3,0
2019,1,1,12:00,UTC,34.9,14.1,0
2019,1,1,13:00,UTC,4.1,-2.3,0
2019,1,1,14:00,UTC,0.1,-5.6,0
2019,1,1,15:00,UTC,0.2,-4.7,0
2019,1,1,16:00,UTC,0.3,-5.7,0
2019,1,1,17:00,UTC,0.2,-4.5,0
2019,1,1,18:00,UTC,0,-3.9,0
2019,1,1,19:00,UTC,0.2,-3.3,0
2019,1,1,20:00,UTC,0.1,-3.3,0
2019,1,1,21:00,UTC,0,-3.5,0
2019,1,1,22:00,UTC,0.1,-3.8,0
2019,1,1,23:00,UTC,0,-3.9,0
2019,1,2,00:00,UTC,0.2,-3.2,0
2019,1,2,01:00,UTC,0.3,-3.4,0
2019,1,2,02:00,UTC,0,-3,0
2019,1,2,03:00,UTC,0,-3.9,0
2019,1,2,04:00,UTC,0,-3.8,0
2019,1,2,05:00,UTC,0,-4,0
2019,1,2,06:00,UTC,0,-4.2,0
2019,1,2,07:00,UTC,0,-3.7,0
2019,1,2,08:00,UTC,11.6,5.3,0
2019,1,2,09:00,UTC,32.4,18.3,0
2019,1,2,10:00,UTC,33.4,20.2,0
2019,1,2,11:00,UTC,28.3,17.5,0
2019,1,2,12:00,UTC,19.9,11.4,0
2019,1,2,13:00,UTC,3.8,-0.1,0
2019,1,2,14:00,UTC,0,-3.9,0
2019,1,2,15:00,UTC,0,-3.6,0
2019,1,2,16:00,UTC,0,-3.9,0
2019,1,2,17:00,UTC,0,-3.6,0
2019,1,2,18:00,UTC,0,-3.5,0
2019,1,2,19:00,UTC,0,-3.3,0
2019,1,2,20:00,UTC,0,-3.6,0
2019,1,2,21:00,UTC,0,-3.3,0
2019,1,2,22:00,UTC,0,-3.7,0
2019,1,2,23:00,UTC,0,-3.4,0
2019,1,3,00:00,UTC,0,-3.5,0
2019,1,3,01:00,UTC,0,-3.2,0
2019,1,3,02:00,UTC,0,-3,0
2019,1,3,03:00,UTC,0,-3.3,0
2019,1,3,04:00,UTC,0,-3.4,0
2019,1,3,05:00,UTC,0,-2.9,0
2019,1,3,06:00,UTC,0,-3.1,0
2019,1,3,07:00,UTC,0,-2.1,0
2019,1,3,08:00,UTC,12.7,12.6,0
2019,1,3,09:00,UTC,24,46.7,60
2019,1,3,10:00,UTC,22.7,59.8,60
2019,1,3,11:00,UTC,22.1,55.8,60
2019,1,3,12:00,UTC,19.7,36.7,60
2019,1,3,13:00,UTC,8.2,9.5,0
2019,1,3,14:00,UTC,0,-2.1,0
2019,1,3,15:00,UTC,0,-2.6,0
2019,1,3,16:00,UTC,0,-2.7,0
2019,1,3,17:00,UTC,0,-2.4,0
2019,1,3,18:00,UTC,0,-2.4,0
2019,1,3,19:00,UTC,0,-2.4,0
2019,1,3,20:00,UTC,0,-2.3,0
2019,1,3,21:00,UTC,0,-1.9,0
2019,1,3,22:00,UTC,0,-2,0
2019,1,3,23:00,UTC,0,-2.5,0
2019,1,4,00:00,UTC,0,-2.8,0
2019,1,4,01:00,UTC,0,-3.6,0
2019,1,4,02:00,UTC,0,-3.8,0
2019,1,4,03:00,UTC,0,-3.9,0
2019,1,4,04:00,UTC,0,-5,0
2019,1,4,05:00,UTC,0,-5,0
2019,1,4,06:00,UTC,0,-5,0
2019,1,4,07:00,UTC,0.1,-3.9,0
2019,1,4,08:00,UTC,6.5,2.1,0
2019,1,4,09:00,UTC,22.6,16,0
2019,1,4,10:00,UTC,32.2,22.1,0
2019,1,4,11:00,UTC,47.1,30.2,0
2019,1,4,12:00,UTC,10.8,6.7,0
2019,1,4,13:00,UTC,8.3,3.2,0
2019,1,4,14:00,UTC,0,-3,0
2019,1,4,15:00,UTC,0.2,-3.5,0
2019,1,4,16:00,UTC,0,-3.5,0
2019,1,4,17:00,UTC,0,-3.7,0
2019,1,4,18:00,UTC,0,-3.7,0
