Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2018,2,1,00:00,UTC,0,-5.7,0
2018,2,1,01:00,UTC,0,-5.6,0
2018,2,1,02:00,UTC,0,-5.4,0
2018,2,1,03:00,UTC,0,-5.4,0
2018,2,1,04:00,UTC,0,-5.2,0
2018,2,1,05:00,UTC,0.1,-5.7,0
2018,2,1,06:00,UTC,0,-5.4,0
2018,2,1,07:00,UTC,2.1,-2.8,0
2018,2,1,08:00,UTC,14.4,7,0
2018,2,1,09:00,UTC,23.5,15.7,0
2018,2,1,10:00,UTC,16.5,12.4,0
2018,2,1,11:00,UTC,38.1,30.1,0
2018,2,1,12:00,UTC,40.1,30.4,0
2018,2,1,13:00,UTC,15.2,10,0
2018,2,1,14:00,UTC,4.2,-0.6,0
2018,2,1,15:00,UTC,0,-4.6,0
2018,2,1,16:00,UTC,0,-4.9,0
2018,2,1,17:00,UTC,0,-4.3,0
2018,2,1,18:00,UTC,0,-3.9,0
2018,2,1,19:00,UTC,0,-2.9,0
2018,2,1,20:00,UTC,0,-2.8,0
2018,2,1,21:00,UTC,0,-3.4,0
2018,2,1,22:00,UTC,0.1,-3.2,0
2018,2,1,23:00,UTC,0,-3.5,0
2018,2,2,00:00,UTC,0.1,-3,0
2018,2,2,01:00,UTC,0,-3.9,0
2018,2,2,02:00,UTC,0,-4.1,0
2018,2,2,03:00,UTC,0,-3.9,0
2018,2,2,04:00,UTC,0.1,-4,0
2018,2,2,05:00,UTC,0.2,-4.7,0
2018,2,2,06:00,UTC,0,-4.2,0
2018,2,2,07:00,UTC,3.2,-0.9,0
2018,2,2,08:00,UTC,24.6,16.2,0
2018,2,2,09:00,UTC,71.9,47.4,0
2018,2,2,10:00,UTC,81.3,55.8,0
2018,2,2,11:00,UTC,61.1,43.5,0
2018,2,2,12:00,UTC,51.3,35,0
2018,2,2,13:00,UTC,45.5,28.3,0
2018,2,2,14:00,UTC,9.7,3.3,0
2018,2,2,15:00,UTC,0.3,-3.1,0
2018,2,2,16:00,UTC,0.2,-3.2,0
2018,2,2,17:00,UTC,0.3,-3.5,0
2018,2,2,18:00,UTC,0,-3.3,0
2018,2,2,19:00,UTC,0.1,-3.2,0
2018,2,2,20:00,UTC,0.2,-2.8,0
2018,2,2,21:00,UTC,0,-2.9,0
2018,2,2,22:00,UTC,0.1,-3.3,0
2018,2,2,23:00,UTC,0.1,-2.9,0
2018,2,3,00:00,UTC,0.1,-3.2,0
2018,2,3,01:00,UTC,0,-3.3,0
2018,2,3,02:00,UTC,0,-3,0
2018,2,3,03:00,UTC,0.1,-2.9,0
2018,2,3,04:00,UTC,0,-2.8,0
2018,2,3,05:00,UTC,0,-3.2,0
2018,2,3,06:00,UTC,0,-3.2,0
2018,2,3,07:00,UTC,8.3,4.6,0
2018,2,3,08:00,UTC,25.5,17.7,0
2018,2,3,09:00,UTC,51.5,34.8,0
2018,2,3,10:00,UTC,66.8,44.6,0
2018,2,3,11:00,UTC,62.3,42.7,0
2018,2,3,12:00,UTC,65.1,42.8,0
2018,2,3,13:00,UTC,42.9,26.7,0
2018,2,3,14:00,UTC,4.9,2.9,0
2018,2,3,15:00,UTC,0,-2.6,0
2018,2,3,16:00,UTC,0,-3.3,0
2018,2,3,17:00,UTC,0,-2.9,0
2018,2,3,18:00,UTC,0,-2.8,0
2018,2,3,19:00,UTC,0,-2.9,0
2018,2,3,20:00,UTC,0,-2.6,0
2018,2,3,21:00,UTC,0,-2.8,0
2018,2,3,22:00,UTC,0,-2.6,0
2018,2,3,23:00,UTC,0,-2.9,0
2018,2,4,00:00,UTC,0,-2.6,0
2018,2,4,01:00,UTC,0,-2.7,0
2018,2,4,02:00,UTC,0,-2.7,0
2018,2,4,03:00,UTC,0,-2.8,0
2018,2,4,04:00,UTC,0,-2.5,0
2018,2,4,05:00,UTC,0,-2.6,0
2018,2,4,06:00,UTC,0,-1.9,0
2018,2,4,07:00,UTC,14.3,19.3,25
2018,2,4,08:00,UTC,39.3,67.9,60
2018,2,4,09:00,UTC,52.2,106.1,60
2018,2,4,10:00,UTC,48.9,133.4,60
2018,2,4,11:00,UTC,46.3,139.4,60
2018,2,4,12:00,UTC,49.8,108.1,60
2018,2,4,13:00,UTC,38.4,72.6,60
2018,2,4,14:00,UTC,25.8,25.7,60
2018,2,4,15:00,UTC,1.1,-1,0
2018,2,4,16:00,UTC,0,-2.8,0
2018,2,4,17:00,UTC,0,-2.9,0
2018,2,4,18:00,UTC,0,-2.9,0
2018,2,4,19:00,UTC,0,-3,0
2018,2,4,20:00,UTC,0,-2.8,0
2018,2,4,21:00,UTC,0,-2.7,0
2018,2,4,22:00,UTC,0,-2.8,0
2018,2,4,23:00,UTC,0,-2.7,0
2018,2,5,00:00,UTC,0,-2.9,0
2018,2,5,01:00,UTC,0,-3.2,0
2018,2,5,02:00,UTC,0,-3.1,0
2018,2,5,03:00,UTC,0,-3.2,0
2018,2,5,04:00,UTC,0,-3.5,0
2018,2,5,05:00,UTC,0,-2.8,0
2018,2,5,06:00,UTC,0,-2.7,0
2018,2,5,07:00,UTC,12.1,20,5
2018,2,5,08:00,UTC,30.7,75.9,60
2018,2,5,09:00,UTC,40.4,111.5,60
2018,2,5,10:00,UTC,41.2,140.5,60
2018,2,5,11:00,UTC,39.3,145.3,60
2018,2,5,12:00,UTC,41.8,114.1,60
2018,2,5,13:00,UTC,31.9,78.8,60
2018,2,5,14:00,UTC,20.8,25.9,60
2018,2,5,15:00,UTC,0.3,-1.8,0
2018,2,5,16:00,UTC,0,-3,0
2018,2,5,17:00,UTC,0,-3,0
2018,2,5,18:00,UTC,0,-2.9,0
2018,2,5,19:00,UTC,0,-3.1,0
2018,2,5,20:00,UTC,0,-3.2,0
2018,2,5,21:00,UTC,0,-3.3,0
2018,2,5,22:00,UTC,0,-2.8,0
2018,2,5,23:00,UTC,0,-3,0
2018,2,6,00:00,UTC,0,-2.8,0
2018,2,6,01:00,UTC,0,-2.9,0
2018,2,6,02:00,UTC,0,-3.1,0
2018,2,6,03:00,UTC,0,-3.3,0
2018,2,6,04:00,UTC,0,-2.9,0
2018,2,6,05:00,UTC,0,-2.9,0
2018,2,6,06:00,UTC,0,-2.8,0
2018,2,6,07:00,UTC,10.7,7.3,0
2018,2,6,08:00,UTC,32.2,24.1,0
2018,2,6,09:00,UTC,48.3,37.3,0
2018,2,6,10:00,UTC,63,48.7,0
2018,2,6,11:00,UTC,64.1,49.8,0
2018,2,6,12:00,UTC,70.2,52.1,0
2018,2,6,13:00,UTC,36.6,27.1,0
2018,2,6,14:00,UTC,11.3,7.7,0
2018,2,6,15:00,UTC,0,-2.8,0
2018,2,6,16:00,UTC,0,-3.4,0
2018,2,6,17:00,UTC,0,-3.5,0
2018,2,6,18:00,UTC,0,-3.2,0
2018,2,6,19:00,UTC,0,-3.2,0
2018,2,6,20:00,UTC,0,-3.3,0
2018,2,6,21:00,UTC,0,-3.1,0
2018,2,6,22:00,UTC,0,-2.9,0
2018,2,6,23:00,UTC,0,-3.4,0
2018,2,7,00:00,UTC,0,-3.2,0
2018,2,7,01:00,UTC,0,-2.9,0
2018,2,7,02:00,UTC,0,-3.1,0
2018,2,7,03:00,UTC,0,-2.7,0
2018,2,7,04:00,UTC,0,-2.9,0
2018,2,7,05:00,UTC,0,-2.8,0
2018,2,7,06:00,UTC,0,-2.5,0
2018,2,7,07:00,UTC,19.1,15.2,0
2018,2,7,08:00,UTC,55.1,47.9,0
2018,2,7,09:00,UTC,69.5,55.8,0
2018,2,7,10:00,UTC,128.4,100.3,0
2018,2,7,11:00,UTC,82.4,66.6,0
2018,2,7,12:00,UTC,95.7,77,0
2018,2,7,13:00,UTC,69.3,51.6,0
2018,2,7,14:00,UTC,25.1,17.4,0
