Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2021,5,1,00:00,UTC,0.4,-3.4,0
2021,5,1,01:00,UTC,0.2,-3.5,0
2021,5,1,02:00,UTC,0.4,-3.5,0
2021,5,1,03:00,UTC,21.6,3.5,60
2021,5,1,04:00,UTC,44.7,19.2,60
2021,5,1,05:00,UTC,54.7,38.7,60
2021,5,1,06:00,UTC,147.7,27,60
2021,5,1,07:00,UTC,59.8,71.1,60
2021,5,1,08:00,UTC,195.9,102.3,60
2021,5,1,09:00,UTC,273.9,28,0
2021,5,1,10:00,UTC,419,53.3,0
2021,5,1,11:00,UTC,335.5,38.5,0
2021,5,1,12:00,UTC,307.9,33,0
2021,5,1,13:00,UTC,202.2,21.9,0
2021,5,1,14:00,UTC,174.9,18.5,0
2021,5,1,15:00,UTC,121.2,10.6,0
2021,5,1,16:00,UTC,147.2,20.8,0
2021,5,1,17:00,UTC,49.1,2.7,0
2021,5,1,18:00,UTC,6.9,-1.7,0
2021,5,1,19:00,UTC,0.1,-2.8,0
2021,5,1,20:00,UTC,0.1,-3.6,0
2021,5,1,21:00,UTC,1,-3.1,0
2021,5,1,22:00,UTC,0.7,-2.9,0
2021,5,1,23:00,UTC,0.1,-2.7,0
2021,5,2,00:00,UTC,0.1,-2.5,0
2021,5,2,01:00,UTC,0,-2.5,0
2021,5,2,02:00,UTC,0.8,-2.5,0
2021,5,2,03:00,UTC,23.9,0.9,0
2021,5,2,04:00,UTC,101.7,19.1,60
2021,5,2,05:00,UTC,180.2,19.6,0
2021,5,2,06:00,UTC,148.6,29.8,60
2021,5,2,07:00,UTC,59.3,76.2,60
2021,5,2,08:00,UTC,252.9,108.8,60
2021,5,2,09:00,UTC,245.9,119.7,60
2021,5,2,10:00,UTC,144.5,116.6,60
2021,5,2,11:00,UTC,104,107.7,60
2021,5,2,12:00,UTC,89.3,101.3,60
2021,5,2,13:00,UTC,126.3,88,60
2021,5,2,14:00,UTC,80.6,67.2,60
2021,5,2,15:00,UTC,77.9,49.6,60
2021,5,2,16:00,UTC,82.9,32.7,60
2021,5,2,17:00,UTC,90.7,7.6,0
2021,5,2,18:00,UTC,18.1,-0.5,0
2021,5,2,19:00,UTC,0.5,-2.5,0
2021,5,2,20:00,UTC,4.7,-2.8,0
2021,5,2,21:00,UTC,1,-2.2,0
2021,5,2,22:00,UTC,0.5,-2.5,0
2021,5,2,23:00,UTC,0.6,-2.5,0
2021,5,3,00:00,UTC,0.2,-3,0
2021,5,3,01:00,UTC,0.1,-2.9,0
2021,5,3,02:00,UTC,1.6,-2.9,0
2021,5,3,03:00,UTC,39,2.4,0
2021,5,3,04:00,UTC,103.6,10.8,0
