Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2019,5,1,00:00,UTC,0.1,-2.4,0
2019,5,1,01:00,UTC,0,-2.8,0
2019,5,1,02:00,UTC,0.3,-2.8,0
2019,5,1,03:00,UTC,20.3,4.1,60
2019,5,1,04:00,UTC,42.8,18.6,60
2019,5,1,05:00,UTC,56.3,39.8,60
2019,5,1,06:00,UTC,72,58.1,60
2019,5,1,07:00,UTC,72.5,73.1,60
2019,5,1,08:00,UTC,86.6,85.2,60
2019,5,1,09:00,UTC,119,92.9,60
2019,5,1,10:00,UTC,382.4,75,50
2019,5,1,11:00,UTC,291.1,111.7,60
2019,5,1,12:00,UTC,251.6,101,60
2019,5,1,13:00,UTC,156.6,83.2,60
2019,5,1,14:00,UTC,143.1,45.7,60
2019,5,1,15:00,UTC,198.3,25.6,0
2019,5,1,16:00,UTC,110.6,7.6,0
2019,5,1,17:00,UTC,47.4,1,0
2019,5,1,18:00,UTC,4.3,-5.4,0
2019,5,1,19:00,UTC,1.3,-1.3,0
2019,5,1,20:00,UTC,0,-3,0
2019,5,1,21:00,UTC,0.2,-2.7,0
2019,5,1,22:00,UTC,0.4,-3,0
2019,5,1,23:00,UTC,0.1,-2.3,0
2019,5,2,00:00,UTC,0.1,-3.8,0
2019,5,2,01:00,UTC,0.2,-2.9,0
2019,5,2,02:00,UTC,0.7,-3.1,0
2019,5,2,03:00,UTC,9.7,-2.2,0
2019,5,2,04:00,UTC,18.4,-1.5,0
2019,5,2,05:00,UTC,56.8,2.3,0
2019,5,2,06:00,UTC,100.1,8.3,0
2019,5,2,07:00,UTC,245.1,26.7,0
2019,5,2,08:00,UTC,201.8,23.9,0
2019,5,2,09:00,UTC,85.5,9.1,0
2019,5,2,10:00,UTC,50.9,4.6,0
2019,5,2,11:00,UTC,79.9,7.5,0
2019,5,2,12:00,UTC,78.2,5.9,0
2019,5,2,13:00,UTC,112.8,9.4,0
2019,5,2,14:00,UTC,23.7,1.3,0
2019,5,2,15:00,UTC,69.5,5.5,0
2019,5,2,16:00,UTC,17.7,0.9,0
2019,5,2,17:00,UTC,6,-0.4,0
2019,5,2,18:00,UTC,1.5,-1.2,0
2019,5,2,19:00,UTC,0,-1,0
2019,5,2,20:00,UTC,0,-1.3,0
2019,5,2,21:00,UTC,0,-2.1,0
2019,5,2,22:00,UTC,0,-2.1,0
2019,5,2,23:00,UTC,0.2,-2.6,0
2019,5,3,00:00,UTC,0,-3.1,0
2019,5,3,01:00,UTC,0,-4,0
2019,5,3,02:00,UTC,0,-4.1,0
2019,5,3,03:00,UTC,4.5,-3.7,0
2019,5,3,04:00,UTC,22.6,-1.9,0
2019,5,3,05:00,UTC,61.3,2.4,0
2019,5,3,06:00,UTC,105.8,7.9,0
2019,5,3,07:00,UTC,71,4.1,0
2019,5,3,08:00,UTC,264.4,27.7,0
2019,5,3,09:00,UTC,278.2,29.9,0
2019,5,3,10:00,UTC,386.3,54.2,10
2019,5,3,11:00,UTC,303.2,34.2,0
2019,5,3,12:00,UTC,297.4,32.6,0
2019,5,3,13:00,UTC,179.3,17,0
2019,5,3,14:00,UTC,199,20.1,0
2019,5,3,15:00,UTC,187.8,17.6,0
2019,5,3,16:00,UTC,111.4,7.9,0
2019,5,3,17:00,UTC,45.8,0.9,0
2019,5,3,18:00,UTC,4.9,-4.5,0
2019,5,3,19:00,UTC,0.1,-5,0
2019,5,3,20:00,UTC,0.1,-4.6,0
2019,5,3,21:00,UTC,0,-5,0
2019,5,3,22:00,UTC,0.1,-4.7,0
2019,5,3,23:00,UTC,0,-4.1,0
2019,5,4,00:00,UTC,0,-4.5,0
