Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2017,3,1,00:00,UTC,0,-4.1,0
2017,3,1,01:00,UTC,0,-4.8,0
2017,3,1,02:00,UTC,0,-5.8,0
2017,3,1,03:00,UTC,0,-5.8,0
2017,3,1,04:00,UTC,0,-5.9,0
2017,3,1,05:00,UTC,0,-5.2,0
2017,3,1,06:00,UTC,8.4,-0.8,0
2017,3,1,07:00,UTC,18.2,5.2,0
2017,3,1,08:00,UTC,28,9.6,0
2017,3,1,09:00,UTC,96.4,39.2,0
2017,3,1,10:00,UTC,112.5,45.2,0
2017,3,1,11:00,UTC,177.6,72.1,0
2017,3,1,12:00,UTC,132.1,49.3,0
2017,3,1,13:00,UTC,92.7,35.3,0
2017,3,1,14:00,UTC,25,7.5,0
2017,3,1,15:00,UTC,10.6,2.6,0
2017,3,1,16:00,UTC,0.8,-3.6,0
2017,3,1,17:00,UTC,0,-2.3,0
2017,3,1,18:00,UTC,0,-1.2,0
2017,3,1,19:00,UTC,0,-2.3,0
2017,3,1,20:00,UTC,0,-3.2,0
2017,3,1,21:00,UTC,0,-3.3,0
2017,3,1,22:00,UTC,0,-3.5,0
2017,3,1,23:00,UTC,0,-2.9,0
2017,3,2,00:00,UTC,0,-3.2,0
2017,3,2,01:00,UTC,0,-4.3,0
2017,3,2,02:00,UTC,0,-4.3,0
2017,3,2,03:00,UTC,0,-4.6,0
2017,3,2,04:00,UTC,0,-5,0
2017,3,2,05:00,UTC,0,-4.4,0
2017,3,2,06:00,UTC,18.3,4.5,0
2017,3,2,07:00,UTC,20.5,6.5,0
2017,3,2,08:00,UTC,38.8,14.7,0
2017,3,2,09:00,UTC,81.5,32.6,0
2017,3,2,10:00,UTC,81.5,30.9,0
2017,3,2,11:00,UTC,52.3,18.7,0
2017,3,2,12:00,UTC,74.2,26.4,0
2017,3,2,13:00,UTC,71.6,21.1,0
2017,3,2,14:00,UTC,31,6.5,0
2017,3,2,15:00,UTC,11.5,-1,0
2017,3,2,16:00,UTC,0.1,-4.9,0
2017,3,2,17:00,UTC,0,-5.3,0
2017,3,2,18:00,UTC,0,-4.9,0
2017,3,2,19:00,UTC,0,-4.6,0
2017,3,2,20:00,UTC,0,-5,0
2017,3,2,21:00,UTC,0,-4.7,0
2017,3,2,22:00,UTC,0,-4.1,0
2017,3,2,23:00,UTC,0,-3.7,0
2017,3,3,00:00,UTC,0,-3.7,0
2017,3,3,01:00,UTC,0,-3.8,0
2017,3,3,02:00,UTC,0,-3.4,0
2017,3,3,03:00,UTC,0,-4.1,0
2017,3,3,04:00,UTC,0,-4,0
2017,3,3,05:00,UTC,0,-3,0
2017,3,3,06:00,UTC,28.3,3.8,0
2017,3,3,07:00,UTC,34.5,8.6,0
2017,3,3,08:00,UTC,89.6,24.7,0
2017,3,3,09:00,UTC,57.8,15.7,0
2017,3,3,10:00,UTC,80.7,23.2,0
2017,3,3,11:00,UTC,51.4,14.6,0
2017,3,3,12:00,UTC,103.6,30.3,0
2017,3,3,13:00,UTC,76,20.2,0
2017,3,3,14:00,UTC,45,9.9,0
2017,3,3,15:00,UTC,10.2,0.4,0
2017,3,3,16:00,UTC,1.1,-1.7,0
2017,3,3,17:00,UTC,0,-2.2,0
2017,3,3,18:00,UTC,0,-2.2,0
2017,3,3,19:00,UTC,0,-3.3,0
2017,3,3,20:00,UTC,0,-3.3,0
2017,3,3,21:00,UTC,0,-3.3,0
2017,3,3,22:00,UTC,0,-3.1,0
2017,3,3,23:00,UTC,0,-2.8,0
2017,3,4,00:00,UTC,0,-3.4,0
2017,3,4,01:00,UTC,0,-3.5,0
2017,3,4,02:00,UTC,0,-3.9,0
2017,3,4,03:00,UTC,0,-4.6,0
2017,3,4,04:00,UTC,0,-4.5,0
2017,3,4,05:00,UTC,0.1,-3.7,0
2017,3,4,06:00,UTC,14.3,2.6,0
2017,3,4,07:00,UTC,32.9,12.3,0
2017,3,4,08:00,UTC,48.3,23,0
2017,3,4,09:00,UTC,80.7,42.6,0
2017,3,4,10:00,UTC,92.1,47.7,0
2017,3,4,11:00,UTC,92.1,48.9,0
2017,3,4,12:00,UTC,155,81,0
2017,3,4,13:00,UTC,174.3,89.2,0
2017,3,4,14:00,UTC,96,47.8,0
2017,3,4,15:00,UTC,35.6,18.8,0
2017,3,4,16:00,UTC,2.7,-1,0
2017,3,4,17:00,UTC,0.2,-2.6,0
2017,3,4,18:00,UTC,0,-2.6,0
2017,3,4,19:00,UTC,0,-2.4,0
2017,3,4,20:00,UTC,0,-2.5,0
2017,3,4,21:00,UTC,0,-2.3,0
2017,3,4,22:00,UTC,0,-2.3,0
2017,3,4,23:00,UTC,0,-2.2,0
2017,3,5,00:00,UTC,0,-2.3,0
2017,3,5,01:00,UTC,0,-2.3,0
2017,3,5,02:00,UTC,0,-2.2,0
2017,3,5,03:00,UTC,0,-2.5,0
2017,3,5,04:00,UTC,0,-2.4,0
2017,3,5,05:00,UTC,2.3,-0.5,0
2017,3,5,06:00,UTC,27.8,14.1,0
2017,3,5,07:00,UTC,97.1,51.3,0
2017,3,5,08:00,UTC,53.6,163.2,60
2017,3,5,09:00,UTC,59.1,212,60
2017,3,5,10:00,UTC,59.5,227.4,60
2017,3,5,11:00,UTC,60.1,226,60
2017,3,5,12:00,UTC,61.4,198.6,60
2017,3,5,13:00,UTC,52.4,151.8,60
2017,3,5,14:00,UTC,39.8,87.1,60
2017,3,5,15:00,UTC,24.5,39.3,60
2017,3,5,16:00,UTC,4.9,-0.8,0
2017,3,5,17:00,UTC,0.1,-3.1,0
2017,3,5,18:00,UTC,0,-2.8,0
2017,3,5,19:00,UTC,0,-2.7,0
2017,3,5,20:00,UTC,0.1,-2.8,0
2017,3,5,21:00,UTC,0,-3,0
2017,3,5,22:00,UTC,0.1,-3.1,0
2017,3,5,23:00,UTC,0,-3.1,0
2017,3,6,00:00,UTC,0,-2.9,0
2017,3,6,01:00,UTC,0.1,-2.9,0
2017,3,6,02:00,UTC,0.1,-2.6,0
2017,3,6,03:00,UTC,0,-2.9,0
2017,3,6,04:00,UTC,0,-2.8,0
2017,3,6,05:00,UTC,2.7,-0.8,0
2017,3,6,06:00,UTC,29.2,42.2,60
2017,3,6,07:00,UTC,40.2,93.3,60
2017,3,6,08:00,UTC,54.8,159,60
2017,3,6,09:00,UTC,58.8,202.5,60
2017,3,6,10:00,UTC,59.9,225.1,60
2017,3,6,11:00,UTC,59.9,223.5,60
2017,3,6,12:00,UTC,72.8,201.5,60
2017,3,6,13:00,UTC,61.3,154.4,60
2017,3,6,14:00,UTC,44.2,83.7,60
2017,3,6,15:00,UTC,26,40.3,60
2017,3,6,16:00,UTC,5.3,-1.1,0
2017,3,6,17:00,UTC,0,-3.6,0
2017,3,6,18:00,UTC,0.2,-3.8,0
2017,3,6,19:00,UTC,0.1,-3.7,0
2017,3,6,20:00,UTC,0,-3.8,0
2017,3,6,21:00,UTC,0,-3.9,0
2017,3,6,22:00,UTC,0,-3.6,0
2017,3,6,23:00,UTC,0,-3.9,0
2017,3,7,00:00,UTC,0,-3.7,0
2017,3,7,01:00,UTC,0,-4,0
2017,3,7,02:00,UTC,0,-4,0
2017,3,7,03:00,UTC,0,-4.3,0
2017,3,7,04:00,UTC,0,-4,0
2017,3,7,05:00,UTC,2.1,-2.8,0
2017,3,7,06:00,UTC,61.9,23.5,0
2017,3,7,07:00,UTC,60.6,25.6,0
2017,3,7,08:00,UTC,87.7,39.3,0
2017,3,7,09:00,UTC,85,38.3,0
2017,3,7,10:00,UTC,55.3,24.6,0
2017,3,7,11:00,UTC,36,14.1,0
2017,3,7,12:00,UTC,25.3,9.1,0
2017,3,7,13:00,UTC,128.4,52.8,0
2017,3,7,14:00,UTC,29.4,9.4,0
2017,3,7,15:00,UTC,9.2,0,0
2017,3,7,16:00,UTC,0.1,-5,0
2017,3,7,17:00,UTC,0,-5.8,0
2017,3,7,18:00,UTC,0,-5.7,0
2017,3,7,19:00,UTC,0,-4.9,0
2017,3,7,20:00,UTC,0,-5.6,0
2017,3,7,21:00,UTC,0,-5.8,0
2017,3,7,22:00,UTC,0,-4.8,0
2017,3,7,23:00,UTC,0,-4.7,0
2017,3,8,00:00,UTC,0,-5,0
2017,3,8,01:00,UTC,0,-5.2,0
2017,3,8,02:00,UTC,0,-4.9,0
2017,3,8,03:00,UTC,0,-4.5,0
2017,3,8,04:00,UTC,0,-4.8,0
2017,3,8,05:00,UTC,0.3,-3.4,0
2017,3,8,06:00,UTC,9,3.5,0
2017,3,8,07:00,UTC,41.6,30.1,0
2017,3,8,08:00,UTC,69.4,50.3,0
2017,3,8,09:00,UTC,73.1,56.3,0
2017,3,8,10:00,UTC,49.4,38.7,0
2017,3,8,11:00,UTC,70.3,55.1,0
2017,3,8,12:00,UTC,68,52.2,0
2017,3,8,13:00,UTC,73.8,56.6,0
2017,3,8,14:00,UTC,32.6,21.9,0
2017,3,8,15:00,UTC,23.6,13.8,0
2017,3,8,16:00,UTC,1.2,-3.9,0
2017,3,8,17:00,UTC,0,-5.1,0
2017,3,8,18:00,UTC,0,-5.4,0
2017,3,8,19:00,UTC,0,-5.3,0
2017,3,8,20:00,UTC,0,-5,0
2017,3,8,21:00,UTC,0,-4.7,0
2017,3,8,22:00,UTC,0,-5.1,0
2017,3,8,23:00,UTC,0,-4.7,0
2017,3,9,00:00,UTC,0,-5,0
2017,3,9,01:00,UTC,0,-4.9,0
2017,3,9,02:00,UTC,0,-5.1,0
2017,3,9,03:00,UTC,0,-5,0
2017,3,9,04:00,UTC,0,-4.3,0
2017,3,9,05:00,UTC,3.2,-1.2,0
2017,3,9,06:00,UTC,67,46.4,0
2017,3,9,07:00,UTC,69.2,48.6,0
2017,3,9,08:00,UTC,85.2,59.5,0
2017,3,9,09:00,UTC,213.1,145.4,0
2017,3,9,10:00,UTC,58.5,43,0
2017,3,9,11:00,UTC,90.8,66,0
2017,3,9,12:00,UTC,95.7,67.3,0
2017,3,9,13:00,UTC,46.7,31.8,0
2017,3,9,14:00,UTC,58.3,39.1,0
2017,3,9,15:00,UTC,15.8,7.9,0
2017,3,9,16:00,UTC,0.9,-2.5,0
2017,3,9,17:00,UTC,0,-3.4,0
2017,3,9,18:00,UTC,0,-2.7,0
2017,3,9,19:00,UTC,0,-2.8,0
2017,3,9,20:00,UTC,0,-3.4,0
2017,3,9,21:00,UTC,0,-2.9,0
2017,3,9,22:00,UTC,0,-4.2,0
2017,3,9,23:00,UTC,0.2,-4.2,0
2017,3,10,00:00,UTC,0,-3.6,0
2017,3,10,01:00,UTC,0,-2.4,0
2017,3,10,02:00,UTC,0,-3.8,0
2017,3,10,03:00,UTC,0,-4,0
2017,3,10,04:00,UTC,0.9,-3.1,0
2017,3,10,05:00,UTC,5.5,0.4,0
2017,3,10,06:00,UTC,21.9,16.1,60
2017,3,10,07:00,UTC,111,126.3,60
