Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2018,6,1,00:00,UTC,0,-3,0
2018,6,1,01:00,UTC,3,-3.2,0
2018,6,1,02:00,UTC,16.8,3.4,60
2018,6,1,03:00,UTC,27.2,15.5,60
2018,6,1,04:00,UTC,38.9,34.1,60
2018,6,1,05:00,UTC,44.6,52.9,60
2018,6,1,06:00,UTC,52.5,69.7,60
2018,6,1,07:00,UTC,63.4,83.1,60
2018,6,1,08:00,UTC,78,92.8,60
2018,6,1,09:00,UTC,126.9,107.2,60
2018,6,1,10:00,UTC,527.5,68.4,0
2018,6,1,11:00,UTC,240.3,125.6,60
2018,6,1,12:00,UTC,259.1,50.6,60
2018,6,1,13:00,UTC,246.3,28.4,0
2018,6,1,14:00,UTC,284,97,60
2018,6,1,15:00,UTC,197.5,59,60
2018,6,1,16:00,UTC,126.6,16.6,30
2018,6,1,17:00,UTC,84.5,13,40
2018,6,1,18:00,UTC,28.2,-2.1,0
2018,6,1,19:00,UTC,13.2,-3.8,0
2018,6,1,20:00,UTC,0.2,-5,0
2018,6,1,21:00,UTC,0,-4.9,0
2018,6,1,22:00,UTC,0.3,-5.3,0
2018,6,1,23:00,UTC,0.5,-4,0
2018,6,2,00:00,UTC,0.3,-4.2,0
2018,6,2,01:00,UTC,5,-3.6,0
2018,6,2,02:00,UTC,14.9,-1.7,0
2018,6,2,03:00,UTC,30.5,15,60
2018,6,2,04:00,UTC,42.3,32.3,60
2018,6,2,05:00,UTC,53.1,50.7,60
2018,6,2,06:00,UTC,63,67.9,60
2018,6,2,07:00,UTC,67.5,81.8,60
2018,6,2,08:00,UTC,73.3,93.7,60
2018,6,2,09:00,UTC,154.8,115.2,60
2018,6,2,10:00,UTC,113,113.9,60
2018,6,2,11:00,UTC,129.5,13.3,0
2018,6,2,12:00,UTC,183.5,24.9,5
2018,6,2,13:00,UTC,240.8,63.7,40
2018,6,2,14:00,UTC,182.7,37.1,15
2018,6,2,15:00,UTC,118.1,48.5,60
2018,6,2,16:00,UTC,68,40.2,60
2018,6,2,17:00,UTC,43.5,25.1,60
2018,6,2,18:00,UTC,27.2,9.5,60
2018,6,2,19:00,UTC,14.5,-1.5,0
2018,6,2,20:00,UTC,1.7,-4.2,0
2018,6,2,21:00,UTC,0.2,-4.1,0
2018,6,2,22:00,UTC,0,-3.9,0
2018,6,2,23:00,UTC,0.2,-4.5,0
2018,6,3,00:00,UTC,0.1,-3.9,0
2018,6,3,01:00,UTC,3.3,-4.1,0
2018,6,3,02:00,UTC,18.1,4,60
2018,6,3,03:00,UTC,28.2,16.8,60
2018,6,3,04:00,UTC,43.6,34.8,60
2018,6,3,05:00,UTC,84.6,42.8,60
2018,6,3,06:00,UTC,125,71.5,60
2018,6,3,07:00,UTC,73.6,87.3,60
2018,6,3,08:00,UTC,74,82.9,60
2018,6,3,09:00,UTC,119.2,95.5,60
2018,6,3,10:00,UTC,65.9,106.2,60
2018,6,3,11:00,UTC,204.7,106.1,60
2018,6,3,12:00,UTC,241.9,53.5,60
2018,6,3,13:00,UTC,130.7,82.6,60
2018,6,3,14:00,UTC,125.6,36.8,60
2018,6,3,15:00,UTC,83.1,64.4,60
2018,6,3,16:00,UTC,70.2,44.7,60
2018,6,3,17:00,UTC,43.9,25.2,60
2018,6,3,18:00,UTC,49.8,10,60
2018,6,3,19:00,UTC,15.4,-3,0
2018,6,3,20:00,UTC,2.3,-4.6,0
2018,6,3,21:00,UTC,0.7,-4.5,0
2018,6,3,22:00,UTC,0.2,-4.5,0
2018,6,3,23:00,UTC,0,-4.3,0
2018,6,4,00:00,UTC,0,-4.7,0
2018,6,4,01:00,UTC,3.9,-4.2,0
2018,6,4,02:00,UTC,25.9,2.2,60
2018,6,4,03:00,UTC,17.5,-2.5,0
2018,6,4,04:00,UTC,98.3,13.6,25
2018,6,4,05:00,UTC,213.3,29.8,0
2018,6,4,06:00,UTC,217.8,24.4,0
2018,6,4,07:00,UTC,235.1,27.4,0
2018,6,4,08:00,UTC,120.5,103.1,60
2018,6,4,09:00,UTC,81.3,104.9,60
2018,6,4,10:00,UTC,87.1,108.3,60
2018,6,4,11:00,UTC,78,106.3,60
2018,6,4,12:00,UTC,115.5,105.4,60
2018,6,4,13:00,UTC,132.3,84.6,60
2018,6,4,14:00,UTC,224,24.4,0
2018,6,4,15:00,UTC,146.2,12.6,0
2018,6,4,16:00,UTC,89.4,6.5,0
2018,6,4,17:00,UTC,80.6,8,0
2018,6,4,18:00,UTC,49.8,15.5,60
2018,6,4,19:00,UTC,13.8,-2.9,0
2018,6,4,20:00,UTC,1.5,-3.9,0
2018,6,4,21:00,UTC,0.8,-4.2,0
2018,6,4,22:00,UTC,0.2,-4.3,0
2018,6,4,23:00,UTC,0.2,-4.4,0
2018,6,5,00:00,UTC,0.5,-4.4,0
2018,6,5,01:00,UTC,3.5,-4.3,0
2018,6,5,02:00,UTC,18.5,4.4,60
2018,6,5,03:00,UTC,28.4,17,60
2018,6,5,04:00,UTC,54.8,38.7,60
2018,6,5,05:00,UTC,53.1,55.4,60
2018,6,5,06:00,UTC,56.9,72.4,60
2018,6,5,07:00,UTC,185.6,99.4,60
2018,6,5,08:00,UTC,408.8,79.6,50
2018,6,5,09:00,UTC,307.4,40,0
