Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2021,6,1,00:00,UTC,0,-3,0
2021,6,1,01:00,UTC,2.2,-2.5,0
2021,6,1,02:00,UTC,24.5,3.2,60
2021,6,1,03:00,UTC,48.7,1.4,0
2021,6,1,04:00,UTC,73.6,24.2,60
2021,6,1,05:00,UTC,59.7,49.3,60
2021,6,1,06:00,UTC,65.7,67.2,60
2021,6,1,07:00,UTC,114.6,88.4,60
2021,6,1,08:00,UTC,145.9,104.2,60
2021,6,1,09:00,UTC,273.5,116.6,60
2021,6,1,10:00,UTC,201,118.5,60
2021,6,1,11:00,UTC,95.7,98.8,60
2021,6,1,12:00,UTC,88.8,91.2,60
2021,6,1,13:00,UTC,87.1,83.1,60
2021,6,1,14:00,UTC,80.6,72.1,60
2021,6,1,15:00,UTC,68.2,55.9,60
2021,6,1,16:00,UTC,59.1,41.3,60
2021,6,1,17:00,UTC,56.6,23.8,60
2021,6,1,18:00,UTC,36.3,5.2,60
2021,6,1,19:00,UTC,14.4,-0.5,0
2021,6,1,20:00,UTC,1,-2.4,0
2021,6,1,21:00,UTC,0.2,-2.4,0
2021,6,1,22:00,UTC,1.3,-2.7,0
2021,6,1,23:00,UTC,0,-2.5,0
2021,6,2,00:00,UTC,0.2,-2.6,0
2021,6,2,01:00,UTC,0.9,-2.1,0
2021,6,2,02:00,UTC,17.4,4.7,60
2021,6,2,03:00,UTC,31.6,16.3,60
2021,6,2,04:00,UTC,43.1,33.2,60
2021,6,2,05:00,UTC,54.8,50.9,60
2021,6,2,06:00,UTC,57.8,67.3,60
2021,6,2,07:00,UTC,65,81.9,60
2021,6,2,08:00,UTC,106.4,97.8,60
2021,6,2,09:00,UTC,162.2,112.6,60
2021,6,2,10:00,UTC,307.2,121.8,60
2021,6,2,11:00,UTC,199.9,22.5,0
2021,6,2,12:00,UTC,120.1,85,60
2021,6,2,13:00,UTC,83.2,82.7,60
2021,6,2,14:00,UTC,77.1,72,60
2021,6,2,15:00,UTC,298,29,0
2021,6,2,16:00,UTC,56.1,45.1,60
2021,6,2,17:00,UTC,49.2,26.6,60
2021,6,2,18:00,UTC,43.4,11.4,60
2021,6,2,19:00,UTC,18.7,0.5,0
2021,6,2,20:00,UTC,0.1,-2.4,0
2021,6,2,21:00,UTC,0,-3.5,0
2021,6,2,22:00,UTC,0,-3.3,0
2021,6,2,23:00,UTC,0,-2.9,0
2021,6,3,00:00,UTC,0.1,-2.9,0
2021,6,3,01:00,UTC,1,-3,0
2021,6,3,02:00,UTC,28.3,5.4,60
2021,6,3,03:00,UTC,33.1,15.9,60
2021,6,3,04:00,UTC,41.5,33.6,60
2021,6,3,05:00,UTC,47.1,50.5,60
2021,6,3,06:00,UTC,57.3,64.3,60
2021,6,3,07:00,UTC,97.7,79.6,60
2021,6,3,08:00,UTC,100.7,87.5,60
2021,6,3,09:00,UTC,176.7,101.3,60
2021,6,3,10:00,UTC,174.8,109.5,60
2021,6,3,11:00,UTC,298.5,89.3,60
2021,6,3,12:00,UTC,324.4,75.8,60
2021,6,3,13:00,UTC,281.1,60.2,60
2021,6,3,14:00,UTC,221.5,71.7,60
