Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2021,11,1,00:00,UTC,0.2,-3.5,0
2021,11,1,01:00,UTC,0.3,-3.5,0
2021,11,1,02:00,UTC,0.1,-3.4,0
2021,11,1,03:00,UTC,0,-3.9,0
2021,11,1,04:00,UTC,0.8,-2.9,0
2021,11,1,05:00,UTC,0,-4.4,0
2021,11,1,06:00,UTC,4,-3.2,0
2021,11,1,07:00,UTC,10.4,-3,0
2021,11,1,08:00,UTC,36.7,-2.3,0
2021,11,1,09:00,UTC,158.2,12.7,0
2021,11,1,10:00,UTC,86.3,33.4,60
2021,11,1,11:00,UTC,59.5,21.3,60
2021,11,1,12:00,UTC,94.2,5.7,0
2021,11,1,13:00,UTC,38.1,7.6,60
2021,11,1,14:00,UTC,15.3,-3.1,0
2021,11,1,15:00,UTC,0.6,-5.4,0
2021,11,1,16:00,UTC,0,-5.4,0
2021,11,1,17:00,UTC,0,-5.4,0
2021,11,1,18:00,UTC,0.4,-5.5,0
2021,11,1,19:00,UTC,0.7,-5.1,0
2021,11,1,20:00,UTC,0.1,-4.9,0
2021,11,1,21:00,UTC,0,-4.6,0
2021,11,1,22:00,UTC,0,-4.4,0
2021,11,1,23:00,UTC,0.1,-4.8,0
2021,11,2,00:00,UTC,0,-4.9,0
2021,11,2,01:00,UTC,0.1,-4.2,0
2021,11,2,02:00,UTC,0.6,-3.9,0
2021,11,2,03:00,UTC,0.9,-4.2,0
2021,11,2,04:00,UTC,0,-4.1,0
2021,11,2,05:00,UTC,0,-4.3,0
2021,11,2,06:00,UTC,7.4,-4.3,0
2021,11,2,07:00,UTC,42.4,2.8,35
2021,11,2,08:00,UTC,64,14.2,60
2021,11,2,09:00,UTC,73.8,23.7,60
2021,11,2,10:00,UTC,67,26.5,60
2021,11,2,11:00,UTC,74.1,27.4,60
2021,11,2,12:00,UTC,54.7,16.8,60
2021,11,2,13:00,UTC,40,6,60
2021,11,2,14:00,UTC,14,-3.9,0
2021,11,2,15:00,UTC,0,-5.8,0
2021,11,2,16:00,UTC,0.2,-5.8,0
2021,11,2,17:00,UTC,0,-5.1,0
2021,11,2,18:00,UTC,0.2,-5.5,0
2021,11,2,19:00,UTC,0,-5.2,0
2021,11,2,20:00,UTC,0.2,-5.2,0
2021,11,2,21:00,UTC,0,-5.4,0
2021,11,2,22:00,UTC,0.5,-6.2,0
2021,11,2,23:00,UTC,0.1,-4.9,0
2021,11,3,00:00,UTC,0.1,-5.6,0
2021,11,3,01:00,UTC,0,-5.5,0
2021,11,3,02:00,UTC,0.1,-6.1,0
2021,11,3,03:00,UTC,0,-5.9,0
2021,11,3,04:00,UTC,0,-5.7,0
2021,11,3,05:00,UTC,0,-5.5,0
